SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3101100040;Almere;ALM-1025-TLC;Steigerdreef – Gildemark;;52,3507960;5,2289670;TLC;31011;;79230028;B59223C1-C262-4D85-B8B8-8343C1D3B76E;40;Ja;;;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100041;Almere;ALM-1025;Steigerdreef – Gildemark;;52,3507960;5,2289670;Intersection;31011;41;;;41;;;;;;;;;;;
3101100050;Almere;ALM-2002-TLC;Markerdreef/Mosweg;;52,3853140;5,2162950;TLC;31011;;79230032;C5EF9AE7-66D7-42ED-839B-C3FA7794E8AE;50;Ja;VT450647;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100051;Almere;ALM-2002;Markerdreef/Mosweg;;52,3853140;5,2162950;Intersection;31011;51;;;51;;;;;;;;;;;
3101100060;Almere;ALM-2003-TLC;Markerdreef/Spoordreef;;52,3820600;5,2180480;TLC;31011;;7923003C;1940D848-7F52-46CC-94B7-F0B1ACC2AAAB;60;Ja;VT450648;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100061;Almere;ALM-2003;Markerdreef/Spoordreef;;52,3820600;5,2180480;Intersection;31011;61;;;61;;;;;;;;;;;
3101100070;Almere;ALM-2004-TLC;Landdrostdreef/Metrepoolstraat;;52,3746400;5,2215600;TLC;31011;;79230046;73A5820F-981A-451D-A1D4-5E9F1FC65A0D;70;Ja;VT450786;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100071;Almere;ALM-2004;Landdrostdreef/Metrepoolstraat;;52,3746400;5,2215600;Intersection;31011;71;;;71;;;;;;;;;;;
3101100090;Almere;ALM-2008-TLC;VOP Spoordreef;;52,3709150;5,2160350;TLC;31011;;7923005A;76A87B93-3AAD-437E-98F8-A2B693331ECE;90;Ja;VT451547;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100091;Almere;ALM-2008;VOP Spoordreef;;52,3709150;5,2160350;Intersection;31011;91;;;91;;;;;;;;;;;
